鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
新店區,房地(土地+建物),新北市新店區北宜路二段２號六樓,7.67,住,,,1110218,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830425,77.74000000000001,2,2,1,有,有,7160000,92102,,0.0,0,,RPROMLKMLHHGFCF77EA,74.51,0.0,0.0,有,
汐止區,房地(土地+建物)+車位,新北市汐止區福德一路８７之１號四樓,30.48,住,,,1080602,土地2建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1110124,152.97,3,2,2,有,無,14180000,102976,坡道平面,34.69,2000000,預售屋、或土地及建物分件登記案件；,RPXNMLKMLHHGFDF38EA,71.98,0.0,8.49,有,
汐止區,房地(土地+建物),新北市汐止區福德一路８７之２號九樓,16.59,住,,,1080429,土地2建物1車位0,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1110124,64.36,2,2,1,有,無,7300000,113424,,0.0,0,預售屋、或土地及建物分件登記案件；,RPQOMLKMLHHGFDF77EA,40.19,0.0,3.6,有,
汐止區,房地(土地+建物)+車位,新北市汐止區福德一路８７之７號六樓,30.48,住,,,1080609,土地2建物1車位1,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1110124,152.98000000000002,3,2,2,有,無,14700000,107363,坡道平面,34.69,2000000,預售屋、或土地及建物分件登記案件；,RPROMLKMLHHGFDF87EA,71.98,0.0,8.49,有,
汐止區,房地(土地+建物)+車位,新北市汐止區福德一路８７之１號五樓,30.48,住,,,1080622,土地2建物1車位1,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1110124,152.97,3,2,2,有,無,14610000,106611,坡道平面,34.69,2000000,預售屋、或土地及建物分件登記案件；,RPSOMLKMLHHGFDF97EA,71.98,0.0,8.49,有,
汐止區,房地(土地+建物)+車位,新北市汐止區福德一路８７之１號十一樓,30.48,住,,,1080622,土地2建物1車位1,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1110124,152.97,3,2,2,有,無,14800000,108218,坡道平面,34.69,2000000,預售屋、或土地及建物分件登記案件；,RPTOMLKMLHHGFDF08EA,71.98,0.0,8.49,有,
汐止區,房地(土地+建物),新北市汐止區福德一路８７之２號二樓,16.59,住,,,1080719,土地2建物1車位0,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1110124,64.36,2,2,1,有,無,7390000,114823,,0.0,0,預售屋、或土地及建物分件登記案件；,RPUOMLKMLHHGFDF18EA,40.19,0.0,3.6,有,
汐止區,房地(土地+建物),新北市汐止區福德一路８７之２號五樓,16.59,住,,,1080509,土地2建物1車位0,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1110124,64.36,2,2,1,有,無,7200000,111871,,0.0,0,預售屋、或土地及建物分件登記案件；,RPXOMLKMLHHGFDF48EA,40.19,0.0,3.6,有,
三芝區,土地,北新庄子段菜公坑小段189-1地號,759.5,,國家公園區,,1110118,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,725400,955,,0.0,0,地清或未辦繼承標售；,RPUPMLSLLHHGFEF09EA,0.0,0.0,0.0,無,
淡水區,土地,水仙段13地號,19.84,都市：其他:保護區,,,1110107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,109108,5499,,0.0,0,,RPOOMLTLLHHGFEF48EA,0.0,0.0,0.0,無,
淡水區,房地(土地+建物),新北市淡水區水源街二段９２巷７號五樓,23.98,住,,,1110226,土地1建物1車位0,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0981125,105.41,3,0,3,有,有,7800000,73997,,0.0,0,,RPOOMLKMLHHGFEF67EA,59.26,1.38,8.28,有,
淡水區,房地(土地+建物),新北市淡水區新春街４３巷２號,6.25,住,,,1110129,土地2建物1車位0,一層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0790807,30.64,1,1,1,有,無,2400000,78329,,0.0,0,,RPPOMLKMLHHGFEF77EA,18.41,3.78,0.0,有,0056
淡水區,房地(土地+建物),新北市淡水區民生路１１７巷２９弄７號,68.13,住,,,1110219,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,99.0,7,3,4,有,無,12800000,129293,,0.0,0,頂樓加蓋；,RPTPMLKMLHHGFEF28EA,99.0,0.0,0.0,無,
瑞芳區,房地(土地+建物),新北市瑞芳區深澳路４號五樓,39.12,,鄉村區,乙種建築用地,1110317,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0890509,106.35,3,2,2,有,無,4200000,39492,,0.0,0,陽台外推；,RPRNMLKMLHHGFFF97EA,87.54,0.0,11.17,無,
八里區,房地(土地+建物),新北市八里區頂寮一街４６號四樓,22.29,住,,,1110312,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830125,77.5,2,1,1,有,有,4900000,63226,,0.0,0,,RPPNMLLMLHHGFEF77EA,65.75,0.7,5.1,有,
三芝區,房地(土地+建物),新北市三芝區樂全街９８號十一樓,27.89,,山坡地保育區,丙種建築用地,1110318,土地1建物2車位0,十一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850529,82.4,2,2,1,有,有,2700000,32767,,0.0,0,2戶打通使用。,RPQNMLLMLHHGFEF87EA,63.39,0.0,7.44,有,
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路三段１０１巷１６弄５２號四樓,33.38,住,,,1110313,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001104,234.91,3,2,2,有,有,15300008,65131,坡道平面,43.28,0,,RPRNMLLMLHHGFEF97EA,117.89,2.88,13.71,有,
三重區,房地(土地+建物)+車位,新北市三重區集賢路１１８之３號八樓,15.64,住,,,1110224,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970918,116.55,2,1,1,有,有,13880000,119091,坡道平面,28.27,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLTLLHHGFGF88EA,54.66,4.6,3.17,有,0057
