鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
新社區,房地(土地+建物),臺中市新社區中和街一段１７號,72.88,,一般農業區,甲種建築用地,1110121,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0801120,148.97,2,1,3,有,無,6950000,46654,,0.0,0,,RPWNMLSKLHHGFGB68DA,141.34,0.0,7.63,無,
石岡區,土地,崁子下段1206地號,758.55,,特定農業區,農牧用地,1110309,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,2637,,0.0,0,地清或未辦繼承標售；,RPTNMLLMLHHGFGB87DA,0.0,0.0,0.0,無,057
大甲區,土地,致用段864地號,139.75,,,,1110312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3600000,25760,,0.0,0,未登記建物；包含公共設施保留地用地；,RPQNMLKMLHHGFEB27DA,0.0,0.0,0.0,無,
外埔區,土地,水美南段197地號,3170.35,,工業區,農牧用地,1100917,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,67132100,21175,,0.0,0,土地增值稅新台幣2187819元整由買方負擔。,RPXNMLKMLHHGFEB97DA,0.0,0.0,0.0,無,
外埔區,土地,水美南段1074地號,64.33,,山坡地保育區,農牧用地,1100917,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1362100,21174,,0.0,0,,RPOOMLKMLHHGFEB17DA,0.0,0.0,0.0,無,
大甲區,房地(土地+建物),臺中市大甲區經國路１７４２巷２７弄１７號,123.0,住,,,1110310,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0750725,135.81,6,2,2,有,無,8300000,61115,,0.0,0,其他增建；未登記建物；,RPSNMLLMLHHGFEB57DA,135.81,0.0,0.0,無,
東勢區,土地,東勢段石角小段3441-5地號,1001.0,,山坡地保育區,農牧用地,1110214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,450000,450,,0.0,0,共有分管土地，加入農保用。,RPUNMLOKKHHGFGB97DA,0.0,0.0,0.0,無,058
東勢區,房地(土地+建物),臺中市東勢區本街南片巷１０６之１號,185.0,住,,,1110112,土地3建物1車位0,全,二層,透天厝,住家用,加強磚造,0490315,57.34,3,1,1,有,無,6800000,118591,,0.0,0,未登記建物；,RPSNMLTJLHHGFGB28DA,57.34,0.0,0.0,無,
新社區,土地,水底寮段上水底寮小段432-1地號,1712.67,,山坡地保育區,林業用地,1110222,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,3503,,0.0,0,未登記建物；農作物；,RPTNMLOKLHHGFGB97DA,0.0,0.0,0.0,無,
東勢區,土地,石圍墻段石圍墻小段68-15地號,578.0,農,,,1110314,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4900000,8478,,0.0,0,,RPQOMLPKLHHGFGB87DA,0.0,0.0,0.0,無,059
