鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
鹽埕區,土地,府北段五小段132地號,13.91,商,,,1110323,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2142311,154012,,0.0,0,協議價購；,RPPOMLLJMHHGFAE07DA,0.0,0.0,0.0,無,135
鹽埕區,土地,府北段五小段132地號,11.87,商,,,1110323,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1828352,154031,,0.0,0,協議價購；,RPQOMLLJMHHGFAE17DA,0.0,0.0,0.0,無,135
鹽埕區,土地,府北段五小段132地號,14.15,商,,,1110323,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2179247,154010,,0.0,0,協議價購；,RPROMLLJMHHGFAE27DA,0.0,0.0,0.0,無,135
鹽埕區,土地,府北段五小段132地號,7.08,商,,,1110323,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1089624,153902,,0.0,0,協議價購；,RPSOMLLJMHHGFAE37DA,0.0,0.0,0.0,無,135
鹽埕區,土地,府北段五小段133地號,20.0,商,,,1110323,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3080000,154000,,0.0,0,協議價購；,RPTOMLLJMHHGFAE47DA,0.0,0.0,0.0,無,140
鹽埕區,土地,府北段五小段133地號,20.0,商,,,1110323,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3080000,154000,,0.0,0,協議價購；,RPUOMLLJMHHGFAE57DA,0.0,0.0,0.0,無,140
鼓山區,房地(土地+建物),高雄市鼓山區美術東四路４５８號六樓之２１,6.09,商,,,1110312,土地1建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980325,64.61,1,1,1,有,有,4970000,76923,,0.0,0,,RPRPMLTLLHHGFAE28DA,42.68,1.32,0.0,有,142
新興區,房地(土地+建物),高雄市新興區復興二路２１７號二樓之７,4.34,商,,,1091012,土地1建物1車位0,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110114,67.04,2,1,1,有,有,4780000,71301,,0.0,0,,RPRNMLPKJHHGFBE47DA,37.53,1.56,3.72,有,
新興區,房地(土地+建物),高雄市新興區復興二路２１７號三樓之３,4.67,商,,,1090114,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110114,72.2,2,1,1,有,有,5300000,73407,,0.0,0,,RPUNMLPKJHHGFBE77DA,40.02,1.54,4.52,有,
新興區,房地(土地+建物),高雄市新興區復興二路２１７號六樓之３,4.67,商,,,1100825,土地1建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110114,72.2,2,1,1,有,有,5270000,72992,,0.0,0,,RPWNMLPKJHHGFBE97DA,40.02,1.54,4.52,有,
