鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
萬華區,房地(土地+建物),臺北市萬華區環河南路一段７１號五樓之４,1.77,商,,,1110228,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0660829,21.92,0,0,1,有,有,3400000,155109,,0.0,0,陽台外推；其他增建；,RPSPMLRKLHHGFBA77DA,15.18,0.0,3.1,有,081
萬華區,房地(土地+建物),臺北市萬華區環河南路二段２５０巷３３弄７號十三樓,12.61,住,,,1110306,土地2建物1車位0,十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0761030,121.97,3,2,2,有,有,14720000,120685,,0.0,0,,RPPNMLQLLHHGFBA27DA,87.33,1.45,10.71,有,
大同區,房地(土地+建物),臺北市大同區民權西路１３６號十六樓之１４,4.79,商,,,1110309,土地2建物1車位0,十六層,十八層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0790323,52.599999999999994,1,1,1,有,有,8600000,163498,,0.0,0,,RPRPMLLMLHHGFBA27DA,33.54,1.87,0.0,有,082
萬華區,房地(土地+建物),臺北市萬華區萬大路４９３巷４８弄２３之３號,27.78,住,,,1110227,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750909,158.36,3,2,1,有,無,17500000,110508,,0.0,0,其他增建；,RPUQMLKMLHHGFBA57DA,74.63,83.73,0.0,無,083
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段１０９號五樓之４,28.02,商,,,1110103,土地1建物1車位1,五層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0870916,300.31,0,0,0,無,有,49620000,165229,坡道平面,0.0,3000000,,RPPNMLLLKHHGFCA76DA,188.32,0.0,0.0,有,
萬華區,房地(土地+建物),臺北市萬華區國興路２８號五樓,12.4,住,,,1110224,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0680403,46.08,1,1,1,有,有,8800000,190972,,0.0,0,,RPRNMLLJMHHGFBA86DA,38.94,0.0,7.14,有,084
中正區,車位,臺北市中正區重慶南路一段５７號地下一層之１,0.0,商,,,1110312,土地1建物1車位1,地下一層,十四層,其他,見使用執照,鋼筋混凝土造,0910723,12.53,0,0,0,有,有,1500000,,坡道機械,12.53,1500000,僅車位交易；,RPWNMLLJMHHGFBA37DA,0.0,0.0,0.0,有,085
大同區,房地(土地+建物)+車位,臺北市大同區太原路１５５號三樓之５,21.86,商,,,1110108,土地1建物1車位2,三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910225,357.75,7,0,7,有,有,68000000,208306,坡道平面,55.32,5000000,,RPUPMLLJMHHGFBA37DA,222.26,0.0,18.24,有,
萬華區,房地(土地+建物),臺北市萬華區萬大路１８７巷２３號二樓,13.09,商,,,1110207,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640508,31.18,2,1,1,有,無,5550000,177999,,0.0,0,,RPRNMLQJMHHGFBA37DA,31.18,0.0,0.0,無,
中山區,房地(土地+建物),臺北市中山區中山北路二段９３巷８號十樓之７,5.78,商,,,1101226,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0940803,42.63,2,2,1,有,有,13500000,316678,,0.0,0,夾層；其他增建；,RPVQMLRJLHHGFCA18DA,24.66,1.53,0.0,有,
