,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
7,文山區,房地(土地+建物)+車位,臺北市文山區福興路１０６巷３７號九樓,34.48,住,,,1110122,土地1建物1車位2,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010827,240.23,4,2,2,有,有,31780000,174473,坡道平面,83.3,4400000,夾層；,RPVOMLSLLHHGFAA08DA,124.1,4.64,5.24,有,5.0
9,中正區,房地(土地+建物),臺北市中正區延平南路１５０號七樓之２,13.55,商,,,1110115,土地1建物1車位0,七層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1080723,138.23000000000002,0,0,0,無,有,42220000,305433,,0.0,0,毛胚屋；,RPQNMLOLJHHGFBA96DA,89.72,2.8,6.02,有,
10,中正區,房地(土地+建物)+車位,臺北市中正區延平南路１５０號十一樓,28.95,商,,,1110128,土地1建物1車位1,十一層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1080723,328.44,0,0,0,無,有,97530000,317717,坡道平面,35.17,4350000,毛胚屋；,RPVOMLQLJHHGFBA77DA,189.65,8.86,10.04,有,
17,中正區,房地(土地+建物)+車位,臺北市中正區延平南路１５０號十三樓之１,20.98,商,,,1110211,土地1建物1車位1,十三層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1080723,245.05,0,0,0,無,有,68580000,310082,坡道平面,35.17,3500000,毛胚屋；,RPTNMLKMLHHGFBA17DA,122.14,3.75,23.69,有,
23,內湖區,房地(土地+建物),臺北市內湖區內湖路二段１０３巷１１９弄５號一樓,7.1,都市：其他:第三種住宅區。,,,1110224,土地2建物1車位0,一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720331,56.07,1,1,1,有,有,9400000,167648,,0.0,0,其他增建；,RPSSMLSJLHHGFCA18DA,45.14,1.86,0.0,有,12.0
30,內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路三段６０巷３９號十二樓,35.97,住,,,1101210,土地1建物1車位2,十二層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060407,279.90999999999997,3,2,2,有,有,58000000,207209,坡道平面,0.0,0,,RPXRMLLLLHHGFCA08DA,156.16,13.75,7.48,有,
31,中山區,房地(土地+建物)+車位,臺北市中山區復興北路１９２號七樓之４,16.19,住,,,1110208,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0750609,84.7,2,1,1,有,有,7100000,83825,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRQMLMLLHHGFCA47DA,65.97,0.0,5.58,有,
41,信義區,房地(土地+建物)+車位,臺北市信義區信義路五段１５０巷１０號十樓,18.45,住,,,1110113,土地1建物1車位1,十層，電梯樓梯間,三十層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0861024,174.19,3,2,2,有,有,42580000,308611,坡道平面,45.29,2800000,車位位於地下第6層,RPXPMLLLLHHGFDA97DA,107.26,1.69,11.81,有,15.0
50,士林區,房地(土地+建物)+車位,臺北市士林區基河路３００巷２３號九樓,40.04,住,,,1110103,土地1建物1車位2,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101117,282.90999999999997,3,2,2,有,有,65050000,272597,坡道平面,60.42,4400000,,RPQOMLPLKHHGFEA57DA,124.72,5.7,14.67,有,
51,北投區,房地(土地+建物)+車位,臺北市北投區天母西路１３０巷１號五樓,43.07,商,,,1110113,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0920708,236.42000000000002,3,2,3,有,有,57000000,241096,坡道平面,0.0,3000000,其他增建；,RPWOMLKKLHHGFEA67DA,132.76,0.0,13.64,有,
53,士林區,房地(土地+建物)+車位,臺北市士林區忠誠路一段９２號,26.82,住,,,1110217,土地4建物1車位1,一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0770711,120.52,1,1,1,有,有,33100000,274620,一樓平面,0.0,0,陽台外推；,RPXQMLPKLHHGFEA48DA,89.45,0.0,11.01,有,
62,文山區,房地(土地+建物)+車位,臺北市文山區辛亥路四段２１巷２２號十七樓,110.01,住,,,1110225,土地4建物1車位1,十七層，十八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840801,298.61,4,2,2,有,有,35260000,118080,坡道平面,0.0,0,夾層；,RPQNMLKMLHHGFAA86EA,179.09,23.72,18.74,有,
64,文山區,房地(土地+建物)+車位,臺北市文山區景隆街３６巷２之４號十樓,26.43,,,,1110219,土地2建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820410,193.42000000000002,4,2,2,有,有,25890000,133854,坡道平面,0.0,0,,RPQOMLKMLHHGFAA96EA,156.75,4.62,14.97,有,
76,松山區,房地(土地+建物)+車位,臺北市松山區健康路３２５巷２５弄１８號四樓,19.52,住,,,1110322,土地1建物1車位2,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100323,218.47000000000003,3,2,2,有,有,44034622,201559,坡道平面,82.04,0,政府機關標讓售；,RPOSMLMJLHHGFDA37EA,83.42,4.47,9.79,有,
78,信義區,房地(土地+建物)+車位,臺北市信義區中坡南路２０１巷１８號四樓,26.42,住,,,1110207,土地1建物1車位1,四層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1100423,226.23000000000002,3,2,2,有,有,59500000,293084,坡道平面,32.77,2800000,,RPRSMLMJLHHGFDA67EA,105.74,10.8,11.24,有,
80,松山區,房地(土地+建物),臺北市松山區光復北路２４２號三樓,37.62,都市：其他:住宅用地(民生社區特定專用區)。,,,1110121,土地1建物1車位0,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090731,199.41,3,1,2,有,有,69580000,348929,,0.0,0,,RPOTMLMJLHHGFDA47EA,93.3,16.55,10.76,有,
99,大安區,房地(土地+建物),臺北市大安區光復南路６９６號五樓之３,10.89,商,,,1110224,土地2建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011120,113.36000000000001,2,2,2,有,有,35000000,308751,,0.0,0,,RPOQMLLKKHHGFFA27EA,67.22,6.91,4.49,有,
107,信義區,房地(土地+建物),臺北市信義區松山路２７２號四樓,13.43,住,,,1110219,土地2建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0730608,87.59,2,2,1,有,有,18300000,208928,,0.0,0,其他增建；,RPROMLLMLHHGFDA47EA,57.3,0.0,6.67,有,
113,中山區,房地(土地+建物),臺北市中山區松江路２號十一樓之３、十一樓之４,5.55,商,,,1110207,土地1建物1車位0,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0701208,76.15,0,0,0,無,有,16100000,211425,,0.0,0,,RPRNMLLMLHHGFCA27EA,56.73,0.0,0.0,有,
116,中山區,房地(土地+建物)+車位,臺北市中山區林森北路４７９號二樓之５,4.83,商,,,1110319,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920122,64.12,0,0,0,無,有,9500000,148160,坡道機械,0.0,0,套房,RPTSMLLMLHHGFCA97EA,23.67,0.74,3.11,有,44.0
117,中山區,房地(土地+建物)+車位,臺北市中山區建國北路一段１５０號九樓之１、九樓之２,10.53,住,,,1110305,土地1建物1車位2,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990318,119.31,1,2,1,有,有,25000000,272378,升降機械,38.54,3000000,陽台外推；,RPSNMLLJMHHGFCA17EA,43.48,5.45,4.19,有,
120,萬華區,房地(土地+建物)+車位,臺北市萬華區環河南路二段２５號十七樓,8.66,商,,,1110311,土地2建物1車位1,十七層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090807,130.35999999999999,1,2,1,有,有,22000000,168763,坡道平面,39.88,0,,RPPNMLLMLHHGFBA96EA,53.82,3.16,3.89,有,
122,大同區,房地(土地+建物),臺北市大同區寧夏路１４５號四樓之１,17.09,商,,,1110223,土地2建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0921107,156.47,4,2,2,有,有,30000000,191730,,0.0,0,陽台外推；其他增建；,RPPOMLLMLHHGFBA07EA,96.54,0.0,10.69,有,
128,大安區,房地(土地+建物),臺北市大安區敦化南路二段１２８號八樓之２,14.79,住,,,1110219,土地1建物1車位0,八層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0680219,168.95999999999998,4,2,2,有,有,48680000,288116,,0.0,0,,RPPNMLLMLHHGFFA27DA,133.35,0.0,12.1,有,
134,大安區,房地(土地+建物)+車位,臺北市大安區安和路二段２１１號五樓之２,21.69,住,,,1101226,土地1建物1車位1,五層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740612,214.58999999999997,3,2,2,有,有,55000000,256303,坡道平面,37.9,0,,RPQOMLSKLHHGFFA97DA,168.52,1.95,19.2,有,
157,北投區,房地(土地+建物)+車位,臺北市北投區光明路１５１巷６號六樓之１,12.68,商,,,1110219,土地1建物1車位1,六層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030530,170.24,3,2,2,有,有,33150000,227864,坡道平面,35.73,2500000,陽台外推；其他增建；,RPSNMLKKLHHGFEA17DA,79.1,3.42,8.8,有,56.0
158,松山區,房地(土地+建物)+車位,臺北市松山區健康路３２５巷２５弄１８號二樓,19.24,住,,,1110321,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100323,176.88,3,2,2,有,無,38858889,219691,坡道平面,39.88,0,政府機關標讓售；,RPTOMLOLLHHGFDA77DA,83.56,4.85,9.84,有,
162,松山區,房地(土地+建物)+車位,臺北市松山區市民大道四段３９之３號十一樓,56.74,住,,,1101213,土地2建物1車位2,十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1090102,410.21000000000004,0,0,0,無,有,193800000,565803,坡道平面,81.12,7600000,,RPWNMLPLLHHGFDA08DA,180.31,9.75,24.4,有,
163,松山區,房地(土地+建物)+車位,臺北市松山區市民大道四段３９之２號十九樓,44.92,住,,,1110120,土地2建物1車位1,十九層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1090102,314.24,0,0,0,無,有,174520000,620140,坡道平面,40.56,4800000,,RPSPMLPLLHHGFDA87DA,150.81,7.5,19.49,有,
164,松山區,房地(土地+建物)+車位,臺北市松山區市民大道四段３９之３號十九樓,56.47,住,,,1110120,土地2建物1車位2,十九層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1090102,410.21000000000004,0,0,0,無,有,215480000,626212,坡道平面,81.12,9400000,,SPSPMLPLLHHGFDA97DA,180.31,9.75,24.4,有,
165,松山區,房地(土地+建物)+車位,臺北市松山區光復北路１１巷９７號九樓,26.55,住,,,1110221,土地1建物1車位1,九層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780810,192.10999999999999,3,2,2,有,有,44350000,251787,坡道平面,29.87,3500000,陽台外推；,RPPUMLMLLHHGFDA77DA,141.92,0.0,15.5,有,
190,中山區,房地(土地+建物)+車位,臺北市中山區林森北路４８１號三樓之２,5.22,商,,,1110220,土地1建物1車位2,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920122,86.56,1,1,1,有,有,11500000,132856,坡道機械,39.54,0,陽台外推；,RPQQMLOJLHHGFCA37DA,25.0,0.0,4.11,有,
194,中山區,房地(土地+建物)+車位,臺北市中山區松江路１１８號十三樓之７,4.91,商,,,1070206,土地2建物1車位1,十三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100830,100.75,2,2,1,有,有,34979734,430645,坡道平面,26.49,3000000,1.總價含工程減帳＄20266元，不含面積找補款。預售屋、或土地及建物分件登記案件；,RPURMLQLJHHGFCA08DA,45.75,0.0,0.0,有,
203,大同區,房地(土地+建物)+車位,臺北市大同區重慶北路二段２２５號四樓之１,10.65,商,,,1090919,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101215,134.79000000000002,3,2,1,有,有,20400000,151347,升降機械,26.84,0,親友、員工、共有人或其他特殊關係間之交易；,RPSPMLOLLHHGFBA57DA,52.06,5.04,9.15,有,
207,文山區,房地(土地+建物)+車位,臺北市文山區萬芳路１０７巷１８號十五樓,78.46,住,,,1110227,土地1建物1車位1,十五層，見其他登記事項,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010919,391.78,4,2,3,有,有,69000000,176119,坡道平面,34.23,0,土地價格：57743887元建物價格：11256113元其他增建；,RPXNMLLMLHHGFAA57DA,213.71,19.55,14.92,有,76.0
208,文山區,房地(土地+建物)+車位,臺北市文山區仙岩路１６巷８９號三樓,62.68,住,,,1110211,土地1建物1車位1,三層，電梯樓梯間,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870312,191.32,3,2,2,有,有,25700000,134330,坡道平面,36.79,0,,RPWNMLKMLHHGFAA37DA,111.7,9.53,14.0,有,
211,中正區,房地(土地+建物)+車位,臺北市中正區愛國東路８８號六樓之３,23.94,住,,,1100714,土地2建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1101013,216.5,4,2,2,有,有,86000000,454495,坡道平面,34.98,3500000,預售屋、或土地及建物分件登記案件；,RPXOMLLMLHHGFAA67DA,109.49,5.16,7.0,有,
212,中正區,房地(土地+建物)+車位,臺北市中正區愛國東路８８號六樓,19.84,住,,,1100219,土地2建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1101013,184.74,3,2,2,有,有,68400000,435363,坡道平面,34.98,3200000,預售屋、或土地及建物分件登記案件；,RPOPMLLMLHHGFAA86DA,86.47,6.89,7.0,有,
213,文山區,房地(土地+建物)+車位,臺北市文山區辛亥路四段７７巷９２弄９號十一樓之２,51.51,住,,,1110228,土地3建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920922,114.77000000000001,1,2,1,有,有,16200000,183416,坡道平面,36.26,1800000,與大安區辛亥段四小段615-1、615-2、762-1地號併同移轉，價格不拆算。陽台外推；,RPSOMLPKLHHGFAA37DA,48.37,0.0,8.8,有,
220,文山區,房地(土地+建物)+車位,臺北市文山區木柵路四段１４１號三樓,43.35,住,,,1110221,土地2建物1車位1,三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1000214,158.99,3,2,2,有,有,26080000,173408,坡道平面,23.01,2500000,,RPUOMLTJLHHGFAA87DA,86.64,3.34,6.81,有,
226,中正區,房地(土地+建物)+車位,臺北市中正區南昌路二段１８８號十二樓之１,7.81,商,,,1110310,土地2建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010727,86.9,2,2,1,有,有,30360000,331463,塔式車位,1.33,2000000,,RPPNMLSLLHHGFAA37DA,51.98,1.3,4.45,有,80.0
227,文山區,房地(土地+建物)+車位,臺北市文山區興隆路四段２之１號四樓,21.77,住,,,1110321,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060112,170.68,3,2,2,有,有,28330000,165983,升降機械,27.89,0,總價款2833萬元整土地款18414500.房屋款9915500,RPUOMLKMLHHGFAA27DA,80.29,8.47,7.12,有,
229,中正區,房地(土地+建物)+車位,臺北市中正區愛國東路８８號七樓,19.84,住,,,1100421,土地2建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1101013,184.74,3,2,2,有,有,69950000,445713,坡道平面,34.98,3200000,預售屋、或土地及建物分件登記案件；,RPROMLLMLHHGFAA07DA,86.47,6.89,7.0,有,
230,中正區,房地(土地+建物)+車位,臺北市中正區愛國東路８８號九樓,19.84,住,,,1101008,土地2建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1101013,184.74,3,2,2,有,有,69980000,445913,坡道平面,34.98,3200000,預售屋、或土地及建物分件登記案件；,RPUOMLLMLHHGFAA37DA,86.47,6.89,7.0,有,
231,中正區,房地(土地+建物),臺北市中正區愛國東路８８號八樓,19.74,住,,,1110219,土地2建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1101013,149.75,2,2,2,有,有,68200000,455426,,0.0,0,預售屋、或土地及建物分件登記案件；,RPVOMLLMLHHGFAA47DA,86.47,6.89,7.0,有,
233,萬華區,房地(土地+建物),臺北市萬華區環河南路二段２５０巷３３弄７號十三樓,12.61,住,,,1110306,土地2建物1車位0,十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0761030,121.97,3,2,2,有,有,14720000,120685,,0.0,0,,RPPNMLQLLHHGFBA27DA,87.33,1.45,10.71,有,
239,大同區,房地(土地+建物)+車位,臺北市大同區太原路１５５號三樓之５,21.86,商,,,1110108,土地1建物1車位2,三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910225,357.75,7,0,7,有,有,68000000,208306,坡道平面,55.32,5000000,,RPUPMLLJMHHGFBA37DA,222.26,0.0,18.24,有,
242,中山區,房地(土地+建物)+車位,臺北市中山區松江路１１８號二十一樓,10.96,商,,,1100311,土地2建物1車位1,二十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100830,200.01,2,0,1,有,有,81855775,450414,坡道平面,26.49,3700000,1.總價含工程加帳＄5775元，不含面積找補款。預售屋、或土地及建物分件登記案件；,RPWOMLOJLHHGFCA77DA,102.29,0.0,7.61,有,
243,中山區,房地(土地+建物)+車位,臺北市中山區松江路１１８號二十一樓之１,6.98,商,,,1100311,土地2建物1車位1,二十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100830,132.29000000000002,0,2,1,有,有,50650000,443762,坡道平面,26.49,3700000,1.總價不含面積找補款。預售屋、或土地及建物分件登記案件；,SPWOMLOJLHHGFCA87DA,65.2,0.0,0.0,有,
244,中山區,房地(土地+建物)+車位,臺北市中山區松江路１１８號二十一樓之２,9.93,商,,,1100311,土地2建物1車位1,二十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100830,185.73000000000002,2,0,2,有,有,77500000,461567,坡道平面,26.49,4000000,1.總價不含面積找補款。預售屋、或土地及建物分件登記案件；,TPWOMLOJLHHGFCA97DA,92.77,0.0,8.73,有,
248,內湖區,房地(土地+建物),臺北市內湖區星雲街１６８巷４３號十樓之３,8.4,住,,,1110322,土地1建物1車位0,十層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860124,44.37,2,1,1,有,有,8000000,180302,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWRMLPLLHHGFCA38DA,26.43,2.06,3.0,有,87.0
258,中山區,房地(土地+建物)+車位,臺北市中山區南京東路三段１０８號六樓,16.06,商,,,1110120,土地1建物1車位1,六層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1091113,202.97,2,2,1,有,有,74000000,415210,坡道平面,34.26,3950000,,RPPNMLLMLHHGFCA96DA,91.53,5.55,8.97,有,
267,中山區,房地(土地+建物),臺北市中山區建國北路二段１８８號十三樓之１,18.73,住,,,1110217,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0750203,145.92,3,2,2,有,有,33500000,229578,,0.0,0,陽台外推；,RPQOMLKMLHHGFCA07DA,105.36,0.0,18.19,有,
272,信義區,房地(土地+建物)+車位,臺北市信義區忠孝東路五段４７１號十三樓,23.12,商,,,1110308,土地2建物1車位3,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100119,310.86,3,2,2,有,有,79980000,374462,坡道平面,120.24,8600000,,RPUPMLLLLHHGFDA67DA,225.94,13.02,10.47,有,
273,信義區,房地(土地+建物)+車位,臺北市信義區忠孝東路五段４７３號七樓之２,22.76,商,,,1110308,土地2建物1車位3,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100119,308.83,3,2,2,有,有,76980000,362586,坡道平面,120.24,8600000,,RPVPMLLLLHHGFDA77DA,227.63,10.0,10.34,有,
276,信義區,房地(土地+建物),臺北市信義區信義路五段１１９號三樓,7.83,都市：其他:特定業務區(信義計畫特定專用區)。,,,1110215,土地1建物1車位0,三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980702,48.05,1,1,1,有,有,13680000,284763,,0.0,0,含土地增值稅或其他稅費；含仲介費；陽台外推；,RPSOMLSLLHHGFDA08DA,27.26,1.28,4.31,有,
282,北投區,房地(土地+建物)+車位,臺北市北投區中央北路四段５４１巷１３號十樓,23.77,住,,,1070705,土地1建物1車位1,十層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,160.54000000000002,2,2,2,有,有,22500000,171054,坡道平面,41.63,2160000,本案係預售屋,RPOVMLLLKHHGFEA67DA,65.09,6.11,6.42,有,
285,北投區,房地(土地+建物)+車位,臺北市北投區中央北路四段５４１巷９號十二樓,19.85,住,,,1070910,土地1建物1車位1,十二層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,138.31,2,1,1,有,有,18590000,167460,坡道平面,41.63,2400000,本案係預售屋,RPQQMLPLKHHGFEA77DA,53.32,1.77,8.03,有,
286,北投區,房地(土地+建物)+車位,臺北市北投區中央北路四段５４１巷１５號十五樓,25.6,住,,,1070611,土地1建物1車位1,十五層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,170.75,0,0,0,無,有,25190000,178826,坡道平面,41.63,2100000,本案係預售屋,RPORMLPLKHHGFEA67DA,69.32,6.44,8.52,有,
287,北投區,房地(土地+建物)+車位,臺北市北投區中央北路四段５４１巷１５號十六樓,25.6,住,,,1070611,土地1建物1車位1,十六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,170.75,0,0,0,無,有,25190000,178826,坡道平面,41.63,2100000,本案係預售屋,RPPRMLPLKHHGFEA77DA,69.32,6.44,8.52,有,
288,北投區,房地(土地+建物)+車位,臺北市北投區中央北路四段５４１巷７號十二樓,25.34,住,,,1070910,土地1建物1車位1,十二層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,168.26,3,2,2,有,有,24360000,173419,坡道平面,41.63,2400000,本案係預售屋,RPXNMLMJLHHGFEA77DA,69.82,6.41,6.42,有,
309,大安區,房地(土地+建物)+車位,臺北市大安區信義路二段６８號四樓之２,10.5,商,,,1110317,土地2建物1車位1,四層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080903,126.84,1,2,1,有,有,46300000,471576,坡道平面,34.49,2750000,,RPWNMLLMLHHGFFA97DA,54.44,2.82,5.4,有,
310,大安區,房地(土地+建物)+車位,臺北市大安區信義路二段６８號四樓之３,12.03,商,,,1110317,土地2建物1車位1,四層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080903,144.98,1,2,2,有,有,52420000,471385,坡道平面,40.14,3000000,,RPXNMLLMLHHGFFA08DA,61.06,1.77,7.83,有,
321,松山區,房地(土地+建物),臺北市松山區南京東路五段２３９號十四樓之２５,3.72,都市：其他:聯合開發區(捷)。,,,1110310,土地1建物1車位0,十四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980331,46.34,0,0,0,無,有,12000000,258956,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOPMLMLLHHGFDA27EA,27.36,0.0,3.16,有,
326,大安區,房地(土地+建物),臺北市大安區建國南路一段３４１巷３號九樓之１,4.54,住,,,1110121,土地1建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0750520,32.25,3,2,2,有,有,8666000,268713,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；陽台外推；,RPPNMLLJMHHGFFA17EA,23.65,0.23,3.43,有,
346,士林區,房地(土地+建物)+車位,臺北市士林區天母東路８號六樓,77.87,商,,,1110124,土地2建物1車位3,六層,三十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1050920,670.0799999999999,3,2,5,有,有,264630000,431607,坡道平面,78.5,9300000,,RPVNMLTLLHHGFEA48DA,318.18,14.0,51.95,有,
355,松山區,房地(土地+建物)+車位,臺北市松山區健康路４１８號三樓之１,28.46,住,,,1110323,土地2建物1車位2,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000706,303.42,4,2,2,有,有,71000000,233999,坡道平面,0.0,0,,RPUOMLLJMHHGFDA47DA,163.67,5.57,18.62,有,
365,南港區,房地(土地+建物)+車位,臺北市南港區重陽路３２８號十二樓,13.91,商,,,1110304,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091119,175.32,3,2,2,有,有,38680000,220625,坡道平面,48.32,0,,RPSNMLOJLHHGFDA37DA,70.77,9.32,5.32,有,
371,內湖區,房地(土地+建物)+車位,臺北市內湖區新豐街１５２號十四樓之１,44.6,住,,,1110305,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991130,205.51,3,2,2,有,有,46000000,223833,坡道平面,0.0,0,,RPWOMLQKLHHGFCA08DA,95.75,6.27,12.4,有,
374,中山區,房地(土地+建物)+車位,臺北市中山區民權西路６７號七樓,19.97,商,,,1110305,土地1建物1車位3,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061031,340.40999999999997,3,2,3,有,有,107880000,389387,坡道平面,82.62,7500000,土地價款＄70795848、建物價款＄29584152，B634車位土地價款＄1903114、建物價款＄596886，B635車位土地價款＄1903114、建物價款＄596886，B636車位土地價款＄1903114、建物價款＄596886，本戶為實品屋含裝潢費7380000元；毛胚屋；,RPOOMLLKLHHGFCA76DA,149.2,6.14,17.78,有,
377,內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段４０９號八樓之３,23.43,住,,,1101228,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940914,142.64,3,2,2,有,有,28800000,250667,坡道平面,37.72,2500000,,RPUQMLQLJHHGFCA97DA,67.69,0.0,7.03,有,
382,大同區,房地(土地+建物)+車位,臺北市大同區民權西路１４４巷５弄７號十七樓之２,15.23,商,,,1110216,土地2建物1車位2,十七層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790323,226.51,3,2,2,有,有,28000000,123615,坡道平面,0.0,5000000,親友、員工、共有人或其他特殊關係間之交易；,RPPPMLNLKHHGFBA07DA,193.99,0.36,10.93,有,
387,南區,房地(土地+建物),臺中市南區建國南路１段２６２號１６樓之２,17.26,住,,,1110212,土地1建物1車位0,十六層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840429,178.48,3,2,2,有,有,8950000,50146,,0.0,0,,RPUQMLNLKHHGFAB67DA,108.71,0.95,14.72,有,
