,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
3263,龜山區,房地(土地+建物)+車位,桃園市龜山區文達路２７０號九樓,17.37,住,,,1080423,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101028,161.52,3,2,2,有,有,11500000,71825,坡道平面,26.47,1800000,預售屋、或土地及建物分件登記案件；,RPSNMLTLLHHGFHH56DA,80.53,1.38,10.13,有,
3264,龜山區,房地(土地+建物)+車位,桃園市龜山區文達路２８０號三樓,11.17,住,,,1080926,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101028,104.53999999999999,2,2,1,有,有,6800000,66797,坡道機械,17.71,1000000,預售屋、或土地及建物分件登記案件；,RPVOMLTLLHHGFHH96DA,54.87,0.0,4.32,有,
3267,桃園區,房地(土地+建物)+車位,桃園市桃園區天祥五街２３號四樓之１,14.7,住,,,1110226,土地1建物1車位1,四層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880111,187.13,3,2,2,有,有,13500000,79729,坡道平面,36.61,1500000,含仲介費700000元；,RPSQMLTLLHHGFAH88EA,101.1,2.28,21.85,有,59.0
3276,中壢區,房地(土地+建物),桃園市中壢區高鐵站前東路一段９９號十一樓之２,20.35,商,,,1101230,土地1建物1車位0,十一層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100908,171.72,3,2,2,有,有,16622700,96801,,0.0,0,,RPWSMLTLLHHGFBH96EA,80.6,3.86,8.2,有,
3278,中壢區,房地(土地+建物),桃園市中壢區高鐵站前東路一段９９號十樓之３,21.8,商,,,1110120,土地1建物1車位0,十層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100908,181.37,3,2,2,有,有,20671000,113971,,0.0,0,,RPOTMLTLLHHGFBH88EA,86.32,4.53,8.2,有,
3279,中壢區,房地(土地+建物)+車位,桃園市中壢區高鐵站前東路一段９９號十一樓之６,18.39,商,,,1101230,土地1建物1車位1,十一層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100908,156.05,2,2,2,有,有,16034650,113086,坡道平面,31.06,1900000,,RPPTMLTLLHHGFBH98EA,71.33,5.77,5.02,有,
3280,中壢區,房地(土地+建物),桃園市中壢區高鐵站前東路一段９９號十一樓之３,21.62,都市：其他:第二種商業區,,,1101230,土地1建物1車位0,十一層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100908,149.29,3,2,2,有,有,18647520,124908,,0.0,0,,RPQTMLTLLHHGFBH09EA,86.32,3.86,8.2,有,
3301,八德區,房地(土地+建物)+車位,桃園市八德區天祥街１０２巷２６號十樓,25.38,住,,,1101206,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040120,163.75,3,1,2,有,有,8900434,54354,坡道平面,25.89,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLKMLHHGFFH97EA,86.0,0.0,8.43,有,73.0
3309,龜山區,房地(土地+建物)+車位,桃園市龜山區文達路２７８號五樓,16.23,住,,,1091115,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101028,151.53,3,2,2,有,有,10240000,66862,坡道平面,25.3,1800000,預售屋、或土地及建物分件登記案件；,RPTOMLNJLHHGFHH58DA,76.65,0.0,9.29,有,
3310,龜山區,房地(土地+建物)+車位,桃園市龜山區文達路２８８號二樓,14.2,住,,,1080705,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101028,136.85,3,2,1,有,有,8880000,67766,坡道平面,26.47,1400000,預售屋、或土地及建物分件登記案件；,RPUOMLNJLHHGFHH68DA,67.67,0.0,7.49,有,
